country,income_1980,income_1990,income_2000,income_2008,income_2010,income_2015,income_2020,hdi_1990,hdi_2000,hdi_2010,hdi_2015,gini_1980,gini_1990,gini_2000,gini_2010,gini_2020,life_exp_1980,life_exp_1990,life_exp_2000,life_exp_2008,bmi_1980,bmi_1990,bmi_2000,bmi_2008,co2_1980,co2_1990,co2_2000,co2_2008
Lao,1220.0,1710.0,2490.0,3740.0,4220.0,5690.0,7290.0,0.397,0.46299999999999997,0.542,0.586,34.4,34.2,34.0,35.8,36.4,47.4,51.9,57.1,62.4,19.6,20.1,20.799999999999997,21.55,0.0574,0.0499,0.17600000000000002,0.156
Libya,41000.0,22800.0,21900.0,29000.0,29500.0,14400.0,14600.0,0.6809999999999999,0.732,0.7559999999999999,0.716,40.0,40.0,40.0,40.0,40.0,70.4,72.1,73.2,74.4,25.6,26.35,27.1,27.85,8.36,8.29,8.79,9.25
Lithuania,13800.0,15600.0,12200.0,23600.0,21100.0,27000.0,33500.0,0.731,0.757,0.826,0.848,23.6,26.9,31.9,35.0,37.4,70.7,71.4,72.3,71.6,26.5,26.15,25.85,26.45,6.74,6.81,3.47,4.67
Luxembourg,33800.0,57600.0,81700.0,94900.0,91700.0,93700.0,95100.0,0.782,0.8540000000000001,0.894,0.898,26.1,27.0,29.9,32.1,33.8,72.9,75.4,78.0,80.5,24.6,25.25,26.15,26.75,30.3,26.2,18.9,22.5
Malawi,889.0,747.0,884.0,986.0,1080.0,1140.0,1210.0,0.325,0.387,0.444,0.47600000000000003,50.9,60.1,58.4,44.4,45.5,49.3,48.6,44.6,51.1,20.75,21.049999999999997,21.7,22.45,0.114,0.0795,0.078,0.0769
Malaysia,7280.0,10600.0,16300.0,20600.0,21000.0,25400.0,30000.0,0.643,0.725,0.774,0.789,50.7,46.8,47.8,44.5,41.0,68.6,71.3,72.8,74.3,21.85,22.950000000000003,24.299999999999997,25.049999999999997,2.03,3.14,5.42,7.49
Mali,1160.0,1270.0,1470.0,1810.0,1880.0,1920.0,2140.0,0.222,0.297,0.40399999999999997,0.442,50.5,50.5,42.5,33.9,33.0,44.8,49.3,53.3,58.4,19.700000000000003,20.35,21.35,22.450000000000003,0.0553,0.0499,0.075,0.0759
Malta,10200.0,16200.0,24600.0,28400.0,28300.0,34500.0,40400.0,0.736,0.7829999999999999,0.826,0.856,28.0,28.0,28.0,29.4,29.4,72.3,76.5,78.5,79.9,25.799999999999997,26.1,26.950000000000003,27.4,3.09,5.97,5.24,6.25
Mauritania,2940.0,2800.0,2830.0,3500.0,3430.0,3720.0,4030.0,0.37799999999999995,0.444,0.48700000000000004,0.513,48.3,47.0,39.0,34.7,32.6,56.8,59.6,63.5,67.4,21.7,22.6,23.55,24.450000000000003,0.409,0.445,0.446,0.5870000000000001
Mauritius,4670.0,7580.0,11300.0,14900.0,15900.0,18900.0,22700.0,0.62,0.6729999999999999,0.748,0.7809999999999999,40.2,35.3,34.6,35.8,35.8,66.7,70.1,72.2,73.5,22.6,23.700000000000003,24.85,25.65,0.611,1.39,2.27,3.04
Mexico,13200.0,13600.0,16100.0,16700.0,16200.0,17500.0,18100.0,0.648,0.7,0.745,0.762,47.2,53.1,51.0,46.8,45.9,66.6,71.4,74.6,75.5,24.5,25.9,27.15,28.049999999999997,3.96,3.79,4.03,4.45
Moldova,6890.0,7820.0,2810.0,4690.0,4730.0,5700.0,6980.0,0.652,0.597,0.672,0.6990000000000001,20.9,29.2,38.5,31.9,26.4,65.7,68.0,68.6,69.6,25.799999999999997,25.8,25.15,25.65,5.46,5.46,0.836,1.16
Mongolia,4070.0,5120.0,4660.0,7570.0,7690.0,11300.0,13200.0,0.579,0.588,0.701,0.735,32.0,32.0,31.6,34.2,32.4,57.8,61.2,62.0,65.5,23.95,24.4,24.55,25.299999999999997,4.07,4.57,3.13,4.57
Morocco,3530.0,3920.0,4490.0,6120.0,6460.0,7330.0,7980.0,0.45799999999999996,0.53,0.612,0.647,38.8,39.2,40.0,40.2,39.6,60.5,66.6,69.3,71.6,23.4,24.3,25.2,25.9,0.7979999999999999,0.9490000000000001,1.18,1.68
Mozambique,405.0,386.0,573.0,879.0,945.0,1160.0,1210.0,0.209,0.298,0.397,0.418,53.6,53.6,50.3,47.3,54.0,49.9,50.3,50.5,51.3,20.5,20.85,21.65,22.6,0.276,0.0788,0.0762,0.102
Myanmar,838.0,730.0,1290.0,3080.0,3690.0,5030.0,6620.0,0.353,0.42700000000000005,0.526,0.556,38.1,38.1,38.1,38.1,38.1,52.4,55.3,58.7,57.6,19.7,20.25,20.9,21.95,0.161,0.10300000000000001,0.21600000000000003,0.196
Nepal,978.0,1190.0,1530.0,1840.0,1990.0,2460.0,3020.0,0.37799999999999995,0.446,0.529,0.5579999999999999,30.7,32.4,39.5,34.7,32.8,53.0,58.3,65.7,68.7,19.85,19.95,20.35,20.75,0.0361,0.0336,0.128,0.128
Netherlands,27200.0,32300.0,42000.0,47700.0,46100.0,46900.0,51200.0,0.83,0.878,0.9109999999999999,0.924,27.7,28.2,30.4,28.1,28.2,75.8,77.0,78.1,80.3,24.05,24.4,25.15,25.75,12.5,10.6,10.9,10.7
New Zealand,21200.0,24000.0,28100.0,32500.0,32200.0,35200.0,36700.0,0.818,0.868,0.9009999999999999,0.915,27.5,29.8,33.5,33.2,35.0,72.9,75.3,78.3,80.1,24.75,25.6,26.65,27.6,5.55,6.93,8.55,7.99
Nicaragua,4610.0,2970.0,3420.0,4040.0,3970.0,4850.0,4530.0,0.495,0.57,0.62,0.645,48.3,52.5,48.5,44.5,46.2,66.0,71.9,75.0,76.8,24.2,24.95,25.8,26.700000000000003,0.621,0.611,0.742,0.78
Niger,1300.0,893.0,755.0,815.0,812.0,903.0,974.0,0.212,0.255,0.32299999999999995,0.353,36.2,34.6,43.0,34.0,34.3,43.4,46.6,51.8,58.0,20.2,20.65,21.05,21.6,0.0955,0.0914,0.0615,0.0531
Norway,38400.0,42800.0,58000.0,64600.0,62400.0,64000.0,67500.0,0.8490000000000001,0.917,0.9390000000000001,0.9490000000000001,26.3,27.1,28.4,26.0,27.5,75.5,76.7,78.6,80.7,24.2,24.799999999999997,25.65,26.299999999999997,9.31,7.42,8.82,11.7
Pakistan,2250.0,3060.0,3400.0,4070.0,4070.0,4460.0,5020.0,0.40399999999999997,0.45,0.525,0.55,30.6,33.1,31.6,30.8,33.5,59.6,61.7,61.9,63.7,21.65,22.049999999999997,22.5,22.85,0.41100000000000003,0.637,0.748,0.927
Panama,7460.0,7860.0,10600.0,15100.0,15600.0,20800.0,24300.0,0.662,0.721,0.758,0.7879999999999999,50.2,58.3,56.8,52.0,50.4,74.5,75.8,77.4,78.1,23.7,24.75,25.9,27.0,1.58,1.12,1.91,2.1
Papua New Guinea,2270.0,2220.0,2620.0,2770.0,3100.0,3820.0,3950.0,0.36,0.42200000000000004,0.494,0.516,54.2,55.0,51.6,42.4,41.9,53.8,54.4,56.0,55.9,21.3,22.85,24.450000000000003,25.4,0.512,0.46399999999999997,0.456,0.688
Paraguay,7000.0,7930.0,7980.0,9030.0,9740.0,11100.0,12300.0,0.58,0.624,0.675,0.693,40.8,42.9,55.2,50.2,47.9,71.9,74.3,74.5,74.9,23.45,24.25,25.049999999999997,25.7,0.469,0.512,0.693,0.732
Peru,7360.0,5250.0,6430.0,9350.0,10100.0,12100.0,13300.0,0.613,0.677,0.721,0.74,48.2,44.8,53.4,46.1,43.8,64.6,70.0,74.7,77.9,24.05,24.5,24.950000000000003,25.4,1.37,0.955,1.15,1.44
Philippines,4380.0,4010.0,4220.0,5300.0,5580.0,6850.0,8640.0,0.586,0.622,0.669,0.682,40.0,42.5,45.1,44.2,42.2,65.5,67.9,69.3,69.2,21.2,21.9,22.65,23.2,0.7809999999999999,0.675,0.94,0.868
Poland,11400.0,10300.0,14700.0,20400.0,21800.0,25300.0,30900.0,0.7120000000000001,0.784,0.8290000000000001,0.855,25.6,26.7,33.0,33.2,30.8,70.7,71.2,73.9,75.6,25.5,25.5,25.799999999999997,26.299999999999997,13.1,9.71,7.76,8.21
Portugal,14600.0,20200.0,26000.0,27600.0,27200.0,26600.0,29800.0,0.711,0.782,0.818,0.843,33.6,36.2,37.6,36.0,35.5,71.5,74.1,76.7,79.5,24.950000000000003,25.25,26.0,26.45,2.77,4.28,6.09,5.25
Qatar,138000.0,70600.0,108000.0,116000.0,120000.0,116000.0,116000.0,0.754,0.809,0.8270000000000001,0.856,40.0,40.0,40.0,40.0,40.0,67.4,71.5,74.1,77.3,26.1,26.55,27.55,28.5,58.6,24.7,58.6,45.1
Romania,11000.0,11400.0,10400.0,19000.0,17500.0,20700.0,26400.0,0.7,0.708,0.7979999999999999,0.802,19.6,24.2,29.9,32.0,28.3,69.7,69.9,71.1,73.3,25.049999999999997,25.05,24.799999999999997,25.299999999999997,8.69,7.41,4.1,4.63
Russia,20100.0,20600.0,14100.0,24000.0,23300.0,24500.0,26200.0,0.733,0.72,0.785,0.804,23.0,33.6,37.4,40.3,37.7,67.6,69.5,65.5,67.5,25.9,25.8,25.75,26.6,15.7,16.0,10.6,12.0
Rwanda,1020.0,868.0,803.0,1290.0,1400.0,1770.0,2230.0,0.244,0.332,0.46399999999999997,0.498,29.4,35.0,47.2,48.2,45.1,50.2,49.4,49.6,61.8,21.05,21.4,21.65,22.35,0.0961,0.0745,0.0666,0.057
Samoa,3880.0,3650.0,4330.0,5740.0,5410.0,5570.0,6460.0,0.598,0.645,0.693,0.7040000000000001,42.1,42.1,42.1,42.1,42.1,69.2,70.8,71.7,72.5,26.3,28.35,30.25,32.05,0.637,0.631,0.82,0.98
Sao Tome and Principe,3120.0,2040.0,1960.0,2470.0,2560.0,2890.0,3090.0,0.45399999999999996,0.49700000000000005,0.546,0.574,32.1,32.1,32.1,30.9,30.8,63.0,63.3,64.6,67.7,21.35,22.200000000000003,23.1,24.2,0.42100000000000004,0.4,0.335,0.493
Saudi Arabia,63000.0,42700.0,43300.0,46800.0,45400.0,50500.0,48200.0,0.698,0.742,0.804,0.847,40.0,40.0,40.0,40.0,40.0,70.7,71.7,74.7,74.7,25.65,26.6,27.75,28.75,17.5,11.4,14.4,16.6
Senegal,2170.0,2320.0,2420.0,2770.0,2780.0,3000.0,3590.0,0.36700000000000005,0.381,0.455,0.494,54.6,54.3,41.2,39.9,40.3,53.1,58.4,60.6,65.1,20.75,21.5,22.3,23.1,0.6,0.423,0.402,0.424
Sierra Leone,1340.0,1250.0,909.0,1160.0,1210.0,1330.0,1500.0,0.272,0.302,0.392,0.42,47.9,41.7,40.5,35.1,34.0,47.7,50.1,50.9,54.1,21.35,21.950000000000003,22.35,23.2,0.18,0.113,0.0928,0.10800000000000001
Singapore,19700.0,34900.0,52400.0,66800.0,73100.0,83300.0,90500.0,0.718,0.82,0.9109999999999999,0.925,33.0,38.2,38.0,42.5,40.9,72.2,76.1,79.3,82.2,23.05,23.35,23.55,23.35,13.0,14.8,12.2,7.57
Slovak Republic,13000.0,14600.0,15600.0,25400.0,25200.0,28400.0,32900.0,0.738,0.763,0.8290000000000001,0.845,20.1,19.5,26.9,26.6,26.5,70.5,71.0,73.5,74.9,25.85,26.049999999999997,26.200000000000003,26.6,11.9,9.98,6.65,6.98
South Africa,11000.0,9900.0,9700.0,12100.0,12000.0,12400.0,12000.0,0.621,0.629,0.638,0.6659999999999999,65.8,61.6,58.8,63.3,63.0,60.5,65.1,55.6,53.4,25.05,25.45,26.4,28.2,8.0,8.51,8.42,9.98
South Korea,5560.0,11600.0,20800.0,28600.0,30400.0,34200.0,38000.0,0.731,0.82,0.884,0.9009999999999999,39.0,34.5,31.7,32.0,31.6,67.7,72.2,76.3,80.1,21.700000000000003,22.5,23.25,23.65,3.54,5.75,9.45,10.3
Spain,17100.0,23800.0,30000.0,34200.0,32500.0,32400.0,36200.0,0.755,0.825,0.867,0.884,31.5,34.7,31.6,35.1,36.2,75.3,77.0,79.4,81.3,25.200000000000003,25.6,26.3,26.9,5.7,5.58,7.21,7.15
Sri Lanka,2700.0,3610.0,5540.0,7710.0,8500.0,11100.0,12400.0,0.626,0.6859999999999999,0.746,0.7659999999999999,33.4,32.6,39.1,37.7,39.8,67.1,69.7,71.6,73.7,20.65,21.3,22.05,22.55,0.22699999999999998,0.223,0.545,0.611
Sudan,2170.0,1760.0,2320.0,3350.0,3400.0,4260.0,4540.0,0.331,0.39899999999999997,0.46299999999999997,0.49,36.4,36.0,35.7,35.4,35.4,54.9,58.6,63.4,67.0,20.75,21.2,21.950000000000003,22.799999999999997,0.258,0.259,0.203,0.451
Swaziland,4350.0,5630.0,6170.0,7930.0,8240.0,9270.0,9510.0,0.5479999999999999,0.506,0.526,0.541,60.5,60.5,53.7,51.5,51.5,57.6,62.1,48.3,44.5,23.65,24.25,24.9,25.799999999999997,0.792,0.517,1.18,1.04
Sweden,25900.0,31000.0,36900.0,43500.0,43000.0,45700.0,47400.0,0.815,0.877,0.9009999999999999,0.9129999999999999,20.3,21.8,26.0,27.7,29.0,76.0,77.7,79.8,81.0,24.549999999999997,24.9,25.35,25.75,8.63,6.06,5.56,5.32
Switzerland,42700.0,48200.0,50800.0,56800.0,55900.0,57300.0,59100.0,0.831,0.888,0.932,0.9390000000000001,35.5,34.2,32.9,32.5,32.3,76.0,77.8,80.1,82.2,24.45,24.65,24.9,25.15,6.45,6.4,5.47,5.3
Syria,4820.0,4220.0,5130.0,5920.0,6290.0,3050.0,2910.0,0.556,0.589,0.6459999999999999,0.536,33.2,32.6,33.8,35.3,35.2,67.8,69.8,72.5,75.4,25.1,26.0,27.1,27.9,2.33,3.0,3.11,3.28
Tajikistan,4710.0,3660.0,1190.0,2020.0,2140.0,2670.0,3230.0,0.616,0.535,0.608,0.627,27.6,27.4,30.9,31.6,34.0,63.7,67.0,67.8,69.6,24.2,24.35,23.35,23.85,1.96,1.57,0.36,0.40299999999999997
Tanzania,1680.0,1550.0,1570.0,2110.0,2230.0,2610.0,3060.0,0.37,0.391,0.498,0.531,26.6,34.9,37.1,38.8,37.8,55.8,54.9,53.5,59.3,21.1,21.55,22.15,22.8,0.102,0.0899,0.0791,0.147
Thailand,3630.0,6650.0,9190.0,12800.0,13500.0,15300.0,17900.0,0.574,0.649,0.72,0.74,44.8,45.6,42.3,39.2,36.0,66.5,70.7,71.8,76.3,20.9,21.9,23.15,23.7,0.847,1.61,2.88,3.79
Togo,1710.0,1300.0,1240.0,1170.0,1240.0,1470.0,1650.0,0.40399999999999997,0.426,0.457,0.48700000000000004,55.4,50.3,45.2,45.0,43.1,56.1,57.6,56.9,58.0,20.6,21.0,21.65,22.299999999999997,0.264,0.205,0.276,0.27699999999999997
Tonga,2330.0,3580.0,4610.0,4740.0,4990.0,5480.0,6130.0,0.648,0.674,0.7120000000000001,0.721,37.7,37.7,37.7,37.5,37.5,68.2,70.2,70.7,70.9,26.799999999999997,29.0,31.1,32.65,0.434,0.81,0.973,1.17
Trinidad and Tobago,15000.0,10900.0,18300.0,32000.0,31300.0,31500.0,28800.0,0.67,0.715,0.774,0.78,42.7,41.4,40.7,41.3,41.3,68.9,69.9,70.4,72.4,25.450000000000003,25.85,26.4,27.35,15.6,13.9,18.8,33.8
Tunisia,4940.0,5610.0,7570.0,10000.0,10400.0,10900.0,11300.0,0.569,0.654,0.7140000000000001,0.725,42.4,40.8,40.6,36.3,35.8,66.3,72.5,74.3,76.5,23.4,24.4,25.6,26.549999999999997,1.49,1.61,2.05,2.38
Turkey,7870.0,11400.0,13900.0,17800.0,18000.0,23300.0,25500.0,0.5760000000000001,0.653,0.737,0.767,47.2,42.6,41.4,39.4,41.9,62.8,68.6,74.1,77.7,24.9,25.8,26.75,27.5,1.72,2.71,3.42,4.03
Uganda,800.0,773.0,1070.0,1500.0,1590.0,1750.0,1920.0,0.309,0.396,0.47700000000000004,0.493,54.2,43.7,42.6,43.4,42.8,47.8,47.6,49.1,57.0,20.9,21.2,21.85,22.45,0.0504,0.0437,0.0605,0.105
Ukraine,10100.0,10500.0,4800.0,8770.0,7820.0,7470.0,8770.0,0.706,0.6729999999999999,0.7340000000000001,0.743,29.8,26.5,29.4,25.2,25.0,69.1,70.3,68.0,68.3,25.65,25.65,25.15,25.799999999999997,13.2,13.9,6.57,6.74
United Arab Emirates,179000.0,112000.0,103000.0,69400.0,55400.0,65800.0,65300.0,0.726,0.7979999999999999,0.8240000000000001,0.84,40.0,40.0,40.0,40.0,40.0,69.3,71.2,71.8,72.8,26.049999999999997,26.95,27.950000000000003,28.85,36.2,28.4,35.9,22.2
United Kingdom,20700.0,26700.0,33200.0,38100.0,36500.0,39000.0,40700.0,0.775,0.866,0.902,0.91,32.0,36.7,36.7,33.7,33.2,73.6,75.8,78.0,79.8,24.45,25.4,26.4,27.15,10.3,9.73,9.19,8.38
United States,29500.0,36800.0,45700.0,50400.0,49500.0,53200.0,57500.0,0.86,0.884,0.91,0.92,35.0,38.2,40.5,40.7,41.5,74.1,75.6,76.9,78.2,25.25,26.450000000000003,27.6,28.4,20.6,19.1,20.2,18.5
Uruguay,10200.0,9840.0,12900.0,15400.0,17200.0,19900.0,21300.0,0.6920000000000001,0.742,0.78,0.795,43.3,42.7,44.7,43.5,39.7,70.4,73.0,74.6,76.1,23.75,24.549999999999997,25.799999999999997,26.5,2.0,1.28,1.6,2.47
Venezuela,18100.0,14600.0,14600.0,18200.0,16900.0,15600.0,9050.0,0.634,0.672,0.7559999999999999,0.767,55.8,45.0,49.0,46.9,46.9,69.4,72.1,74.0,74.7,24.65,25.65,26.85,27.75,5.98,6.22,6.3,6.48
Vietnam,1090.0,1460.0,2570.0,4030.0,4430.0,5610.0,7350.0,0.47700000000000004,0.5760000000000001,0.655,0.6829999999999999,35.8,35.5,36.1,37.1,35.3,65.1,68.9,71.5,73.0,18.8,19.35,20.200000000000003,21.0,0.31,0.315,0.6709999999999999,1.37
Yemen,3510.0,3430.0,4000.0,4320.0,4570.0,3110.0,2330.0,0.405,0.444,0.493,0.48200000000000004,37.4,37.4,34.9,35.7,36.7,53.1,58.7,63.3,67.2,23.2,23.95,24.6,25.25,0.418,0.82,0.841,1.02
Zambia,2670.0,2340.0,2130.0,2930.0,3340.0,3680.0,3650.0,0.39799999999999996,0.424,0.5429999999999999,0.579,69.2,59.8,46.3,55.6,57.1,56.0,50.7,46.0,53.0,20.549999999999997,20.9,21.25,21.9,0.603,0.304,0.175,0.16899999999999998
Zimbabwe,2510.0,2820.0,2950.0,1480.0,1930.0,2510.0,2410.0,0.499,0.42700000000000005,0.452,0.516,38.5,36.9,41.0,43.2,43.2,59.7,60.9,46.6,46.3,23.45,23.25,23.2,23.3,1.3,1.5,1.17,0.628
